iter	Passed	Remaining
762	1807	561
763	1810	559
764	1812	556
765	1813	554
766	1814	551
767	1816	548
768	1817	546
769	1822	544
770	1825	542
771	1827	539
772	1829	537
773	1830	534
774	1832	531
775	1833	529
776	1834	526
777	1836	524
778	1841	522
779	1843	519
780	1845	517
781	1846	514
782	1847	512
783	1849	509
784	1850	506
785	1852	504
786	1854	502
787	1857	499
788	1858	497
789	1860	494
790	1862	491
791	1863	489
792	1864	486
793	1866	484
794	1867	481
795	1871	479
796	1873	477
797	1875	474
798	1877	472
799	1878	469
800	1879	467
801	1881	464
802	1882	461
803	1885	459
804	1887	457
805	1889	454
806	1890	452
807	1892	449
808	1894	447
809	1896	444
810	1898	442
811	1906	441
812	1908	439
813	1910	436
814	1911	433
815	1912	431
816	1915	429
817	1917	426
818	1919	424
819	1921	421
820	1922	419
821	1924	416
822	1926	414
823	1927	411
824	1929	409
825	1931	406
826	1932	404
827	1934	401
828	1936	399
829	1937	396
830	1939	394
831	1940	391
832	1942	389
833	1943	386
834	1947	384
835	1949	382
836	1951	379
837	1952	377
838	1954	375
839	1955	372
840	1957	370
841	1959	367
842	1962	365
843	1964	363
844	1965	360
845	1967	358
846	1969	355
847	1970	353
848	1972	350
849	1974	348
850	1976	346
851	1977	343
852	1979	341
853	1980	338
854	1981	336
855	1983	333
856	1985	331
857	1987	328
858	1989	326
859	1991	324
860	1992	321
861	1993	319
862	1994	316
863	1996	314
864	1997	311
865	1999	309
866	2000	306
867	2002	304
868	2004	302
869	2006	299
870	2008	297
871	2009	294
872	2010	292
873	2012	290
874	2013	287
875	2015	285
876	2017	282
877	2020	280
878	2022	278
879	2023	275
880	2024	273
881	2026	271
882	2028	268
883	2029	266
884	2031	263
885	2035	261
886	2037	259
887	2038	257
888	2041	254
889	2042	252
890	2044	250
891	2045	247
892	2047	245
893	2053	243
894	2055	241
895	2056	238
896	2058	236
897	2059	233
898	2061	231
899	2062	229
900	2069	227
901	2078	225
902	2079	223
903	2082	221
904	2084	218
905	2086	216
906	2088	214
907	2090	211
908	2091	209
909	2094	207
910	2096	204
911	2098	202
912	2101	200
913	2103	197
914	2104	195
915	2105	193
916	2107	190
917	2109	188
918	2111	186
919	2112	183
920	2114	181
921	2115	179
922	2117	176
923	2119	174
924	2124	172
925	2125	169
926	2128	167
927	2130	165
928	2132	162
929	2133	160
930	2135	158
931	2141	156
932	2143	153
933	2145	151
934	2146	149
935	2149	146
936	2151	144
937	2152	142
938	2154	139
939	2155	137
940	2157	135
941	2158	132
942	2160	130
943	2161	128
944	2163	125
945	2164	123
946	2166	121
947	2168	118
948	2170	116
949	2171	114
950	2173	111
951	2174	109
952	2176	107
953	2179	105
954	2180	102
955	2181	100
956	2182	98
957	2184	95
958	2186	93
959	2187	91
960	2189	88
961	2190	86
962	2193	84
963	2194	81
964	2196	79
965	2197	77
966	2198	75
967	2200	72
968	2201	70
969	2203	68
970	2204	65
971	2207	63
972	2209	61
973	2211	59
974	2213	56
975	2214	54
976	2218	52
977	2220	49
978	2222	47
979	2224	45
980	2225	43
981	2226	40
982	2227	38
983	2229	36
984	2230	33
985	2233	31
986	2235	29
987	2237	27
988	2238	24
989	2240	22
990	2241	20
991	2242	18
992	2243	15
993	2245	13
994	2247	11
995	2248	9
996	2250	6
997	2253	4
998	2254	2
999	2256	0
